RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
44.39067382824,60.79393518743,464691688794839424,0.8686,0.1027,3.982,-3.262,2.284,31,1.385,,1.005,17.674282,18.493496,16.769588,1.723907,,41.68720764258,44.39070353692,60.79392503692,0.898259,3
43.92862671517,60.85025335556,464694811228979968,0.9896,0.1963,4.316,-2.84,3.25,95,,1.3418,1.081,18.773201,19.76452,17.796097,1.968424,,41.82541150463,43.92865262726,60.85023891113,1.013199,3
44.22967431327,60.91649809391,464696155560772992,0.8354,0.0479,4.448,-2.983,3.3,31,1.411,,1.045,16.539946,17.252516,15.71499,1.537526,,41.83041625155,44.22970158458,60.91648342764,0.8651260000000001,3
44.15888237823,60.97995447457,464697491288684800,0.9397,0.2048,4.678,-3.5,3.105,95,,1.2963,1.126,18.763186,19.936348,17.671564,2.264784,,41.90219993259,44.15891444127,60.97994067599,0.968138,3
43.74808731573,60.82203861125,464700721103936768,0.9222,0.3309,4.502,-2.767,3.551,95,,1.3559,0.997,19.420092,20.4765,18.40818,2.068319,,41.83324846736,43.74811254397,60.82202283112,0.944821,3
43.67749577231,60.81723607572,464701133421223296,0.9442,0.5803,3.321,-2.098,2.575,95,,1.2847,1.009,20.215296,21.120083,19.098242,2.021841,,41.8421001056,43.67751489902,60.81722463303,0.979683,3
43.76067488095,60.85215641117,464701584392598784,0.813,0.8301,4.381,-3.629,2.454,95,,1.5521,1.076,20.564272,21.491463,19.51821,1.973253,,41.85867018308,43.76070799257,60.85214550487,0.8403649999999999,3
43.63419032148,60.89141941206,464704848574649216,1.0473,0.0615,2.742,-2.035,1.837,31,1.392,,0.943,16.909199,17.696886,16.048283,1.648603,,41.91866996852,43.63420891783,60.89141124544,1.0780189999999998,3
44.00638836614,61.07542074984,464710685428559488,0.9863,0.4432,3.619,-2.729,2.376,95,,1.3241,1.06,20.044235,21.085701,18.86223,2.223471,,42.01872051181,44.00641344384,61.07541018862,1.015927,3
43.89872869814,61.06093831588,464713232345725696,0.9749,0.4899,3.521,-3.481,0.526,95,,1.3044,1.048,20.114857,21.317894,18.883417,2.434477,,42.0254338357,43.89876067156,61.06093597798,1.007139,3
41.80697898311,59.83039970095,464717767828683264,0.9841,1.2971,2.652,-1.95,1.798,95,,1.2714,1.059,20.744154,21.112518,19.667358,1.44516,,41.29518476662,41.80699622409,59.83039170788,1.036927,3
41.84427977403,59.88532449854,464719073498753664,0.8975,0.7921,3.197,-2.637,1.807,95,,1.3171,1.0,20.494404,21.112883,19.485338,1.627544,,41.33825918715,41.84430312997,59.88531646524,0.942358,3
41.56031087605,59.79805668001,464719623254562688,0.8679,1.0406,4.166,-2.561,3.285,95,,1.4879,1.042,20.709082,21.274858,19.75587,1.518988,,41.3145252045,41.56033350393,59.7980420793,0.905109,3
41.63813611688,59.85621630475,464720276091937920,0.9726,0.0431,3.343,-1.503,2.986,31,1.412,,1.047,16.109118,16.82572,15.277486,1.548234,,41.35243083712,41.63814941903,59.85620303413,1.002038,3
41.68874467591,59.90476709566,464721890999745536,1.0111,0.5849,3.21,-2.549,1.95,95,,1.4007,1.003,20.242641,21.115252,19.244764,1.870487,,41.38695707948,41.68876727238,59.90475842764,1.044065,3
41.64103224152,59.91344501927,464722131513697536,0.9297,0.5029,3.329,-3.129,1.137,95,,1.2704,1.057,19.984373,21.112843,19.009718,2.103125,,41.40440111776,41.64105997968,59.91343996486,0.957279,3
41.72246563324,59.93593944927,464722406395664256,0.8139,0.1563,3.806,-2.957,2.396,31,1.363,,1.016,18.38609,19.246647,17.466967,1.77968,,41.40889168579,41.72249187013,59.93592879834,0.836486,3
41.61404963981,59.96611396776,464723093586290176,1.0087,0.5214,2.929,-1.669,2.407,95,,1.5119,0.97,20.074186,20.914307,19.116821,1.797485,,41.45811141151,41.61406445601,59.96610327073,1.030381,3
42.01083015006,59.94434841938,464724605419039488,0.8295,0.0425,5.35,-3.505,4.042,31,1.422,,1.028,16.039652,16.719944,15.231379,1.488565,,41.35958975274,42.01086125472,59.94433045319,0.860114,3
42.00043523254,60.0096354138,464725803711680128,0.8649,0.6581,4.283,-2.805,3.237,95,,1.2813,1.015,20.28126,21.322594,19.273869,2.048725,,41.42164513629,42.00046016918,60.00962102758,0.902327,3
41.41270663028,59.92010096242,464733195353551872,1.0569,0.0554,4.163,-3.127,2.749,31,1.408,,1.285,16.144323,16.858889,15.274337,1.584552,,41.4559671724,41.41273435497,59.9200887443,1.086471,3
41.52597115056,60.04542645713,464735493157950976,0.9421,0.4588,2.992,-2.74,1.203,95,,1.4199,1.047,19.69808,20.760103,18.708153,2.05195,,41.5483899634,41.52599553849,60.04542111212,0.964186,3
41.12776751024,60.05517081981,464738624188953856,0.8659,0.531,3.157,-2.35,2.109,95,,1.2842,1.041,20.11881,21.044497,19.144741,1.899755,,41.63672544956,41.12778843036,60.05516144839,0.897933,3
41.2829514845,60.17502373244,464740956356625280,1.0383,0.2922,3.994,-3.5,1.923,95,,1.2912,1.049,19.410223,20.782118,18.27195,2.510168,,41.71555645651,41.28298276389,60.17501518733,1.064196,3
41.65771748649,60.0839279561,464741647849058048,1.0039,0.0814,4.495,-2.408,3.796,95,,1.43,1.258,16.491999,17.176706,15.503924,1.672782,,41.55758255101,41.65773894169,60.08391108696,1.033601,3
41.74006225649,60.18126888479,464742571270213760,1.0623,0.3066,3.053,-2.391,1.899,31,1.326,,0.95,19.383772,20.407848,18.40077,2.007078,,41.63063315073,41.74008362329,60.18126044354,1.08214,3
41.83639351114,60.18515653015,464743915591707392,0.8695,0.0279,3.467,-2.337,2.561,31,1.408,,0.974,15.371814,16.10203,14.528242,1.573788,,41.61519768005,41.83641440295,60.18514514941,0.903961,3
41.55520894612,60.23218686268,464746797512416640,0.9789,0.0851,3.815,-3.579,1.321,31,1.39,,0.986,17.400188,18.186834,16.509941,1.676893,,41.7138952653,41.55524098714,60.23218099002,1.010113,3
41.54938251261,60.2485030251,464746831872154880,0.8504,0.1913,4.148,-1.549,3.848,31,1.309,,1.004,18.862638,19.90965,17.855133,2.054518,,41.7300110378,41.54939638396,60.2484859223,0.8681540000000001,3
41.55527529852,60.23728345912,464746836169461248,0.8379,0.0974,5.075,-3.482,3.692,31,1.391,,0.998,17.652115,18.452078,16.779482,1.672596,,41.71855596459,41.55530647212,60.23726704887,0.867547,3
41.41322621113,60.27480440378,464747557719440768,1.0533,0.4878,2.831,-2.24,1.731,95,,1.393,1.019,20.12873,21.069221,19.227266,1.841955,,41.78110262269,41.41324629178,60.27479670977,1.08337,3
41.73104579172,60.34365233618,464748932116528384,1.0141,0.257,2.603,-2.024,1.638,95,,1.3085,1.011,19.212019,20.248316,18.226177,2.022139,,41.78140810942,41.73106396887,60.34364505617,1.038011,3
41.51834080947,60.32670298726,464749546289284736,0.9399,0.3066,3.893,-3.72,1.148,95,,1.322,1.038,19.495583,20.828234,18.434929,2.393305,,41.80785114813,41.5183742058,60.32669788411,0.964699,3
41.57712738216,60.38818342796,464750169064025856,1.0299,0.3506,2.99,-2.768,1.132,95,,1.2812,1.087,19.65453,20.966896,18.474842,2.492054,,41.85259527337,41.57715227522,60.3881783972,1.05705,3
42.09961418176,60.30421273374,464756658755990272,0.9542,0.49,4.039,-3.276,2.363,95,,1.3382,1.112,20.003294,21.15355,18.938383,2.215166,,41.67283122368,42.09964357128,60.3042022299,0.981996,3
42.24458187183,60.2977607517,464757139791415296,1.0086,0.3321,5.429,-3.642,4.026,95,,1.2584,1.024,19.539135,20.724627,18.478947,2.24568,,41.63856328859,42.2446145411,60.29774285875,1.036312,3
42.260154088,60.33844684713,464757831286707968,1.0285,0.3852,3.089,-2.781,1.345,95,,1.2569,1.032,19.73726,20.478907,18.37198,2.106926,,41.67291834681,42.26017906345,60.3384408711,1.056146,3
42.40806505049,60.34436570659,464760678844647168,0.8877,0.3468,3.3,-3.163,0.941,95,,1.2838,1.075,19.673834,20.84515,18.593943,2.251207,,41.6495520366,42.40809345917,60.34436152519,0.914737,3
