Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb
NGC_1027,465673002921584384,40.29362259257,61.45865463868,0.8664,-1.286,1.531,19.306541,20.338491,18.136045,0.21
NGC_1027,465672964256897152,40.27329020601,61.45662821946,0.8697,-1.751,1.548,17.624388,18.638344,16.631733,0.89
NGC_1027,465672590594987264,40.3882135239,61.45703898181,0.9051,-0.931,0.973,20.47077,21.706615,19.274601,0.05
NGC_1027,464762229333069824,42.66232841114,60.4312646645,0.8884,-1.495,1.789,14.166688,14.587366,13.567591,0.13
NGC_1027,465672517580321792,40.44065582584,61.46883934429,0.9823,-1.978,1.86,17.791061,18.687458,16.872498,0.98
NGC_1027,465672315726818432,40.40935026051,61.44062395213,0.5275,-2.156,1.621,18.298784,19.148178,17.397436,0.06
NGC_1027,465672315726812928,40.41781241183,61.44810314471,0.9508,-1.861,2.006,17.238802,18.04234,16.36314,1.0
NGC_1027,465672109568407808,40.29832247027,61.41695874505,0.8353,-1.803,2.135,17.169743,17.978476,16.286581,1.0
NGC_1027,465673312159204224,40.28102516786,61.49264258,0.8056,-2.043,2.038,17.430922,18.03411,16.420073,1.0
NGC_1027,465911936237955968,38.52580552624,61.63899608263,0.8194,-2.088,1.85,19.009752,20.008934,18.052237,0.12
NGC_1027,465911798798944384,38.50446185053,61.61938172517,1.0604,-2.088,2.379,19.19721,20.344019,18.015007,0.17
NGC_1027,465981892664356352,40.23167061573,61.96523319581,0.8037,-1.078,1.783,18.76551,19.90906,17.760822,0.08
NGC_1027,465621016635641856,40.60796132573,61.33619289894,0.9886,-1.467,1.869,15.7216425,16.36601,14.922488,1.0
NGC_1027,465881978848172416,39.49102764074,61.75881214711,0.8828,-1.981,1.967,15.26399,15.826325,14.541434,1.0
NGC_1027,465620638678551424,40.65691735602,61.2914960006,0.7475,-1.777,1.682,17.936405,18.863283,16.984068,0.83
NGC_1027,465620501239598464,40.58209999568,61.30046311835,0.9339,-1.724,1.762,17.292261,18.116209,16.410831,0.98
NGC_1027,465620462579854336,40.54950449377,61.29991932883,0.6606,-1.706,1.722,18.97281,19.920794,18.078253,0.34
NGC_1027,465620462579845888,40.54199105499,61.29637034656,0.9209,-1.658,1.254,19.762878,21.08228,18.603773,0.16
NGC_1027,465881291649339648,39.61254410754,61.73084156962,0.6058,-0.982,1.523,20.295044,21.565752,19.128891,0.06
NGC_1027,465881016775502976,39.51629532425,61.70784559929,0.8861,-2.041,1.726,18.107975,19.104458,17.15893,0.75
NGC_1027,465619917127209344,40.6955252646,61.30175489715,0.6991,-1.634,1.339,19.663301,20.931257,18.429886,0.12
NGC_1027,465880638818511104,39.83966950429,61.83228935375,0.9221,-1.804,2.422,17.154474,17.985922,16.271969,0.98
NGC_1027,465619672306903936,40.76979783899,61.27154539077,1.4059,-2.133,2.374,20.213396,21.293211,19.060715,0.06
NGC_1027,465880570099034624,39.86791792241,61.82768684838,0.8662,-1.699,2.054,15.862966,16.468922,15.109903,1.0
NGC_1027,465619470447676672,40.63491564725,61.26634733304,0.8636,-1.51,1.635,13.094525,13.394835,12.621419,1.0
NGC_1027,465619328709225984,40.60340079081,61.24086497663,0.5896,-2.328,2.32,19.597853,20.792023,18.463793,0.15
NGC_1027,465618783245040512,40.4603861695,61.23401793401,0.6374,-2.056,1.581,19.749651,21.100273,18.649982,0.16
NGC_1027,465617954318554112,40.43380736925,61.16349010194,0.9145,-1.555,2.354,17.450153,18.343956,16.53142,0.91
NGC_1027,465879500644668544,39.90241100479,61.78755535736,0.7846,-1.512,1.467,13.423549,13.741441,12.934519,0.69
NGC_1027,465617821175301632,40.56412676613,61.21531118211,0.958,-2.17,2.048,20.216864,21.240269,19.095812,0.08
NGC_1027,464675879012377472,43.13546421628,60.56759115234,0.8558,-1.782,1.956,18.114502,19.265915,17.069382,0.56
NGC_1027,465879092630321152,39.92184111381,61.73282545482,0.8403,-2.33,1.84,15.956153,16.563395,15.204056,1.0
NGC_1027,465617232764034560,40.55639999965,61.15761585503,0.5835,-1.47,1.472,19.01807,20.182636,17.984598,0.07
NGC_1027,465956298963899648,39.37385276046,62.22510598813,1.0265,-2.06,1.94,17.477453,18.305185,16.591927,0.69
NGC_1027,465617095325011840,40.52521138599,61.13557297793,0.5957,-1.601,1.704,18.87845,19.63716,17.661259,0.21
NGC_1027,465882081921380352,39.46558134082,61.75365675091,1.0914,-1.896,2.077,19.627771,20.688198,18.606781,0.19
NGC_1027,465621149774787840,40.65700285679,61.36876394169,0.9705,-1.619,2.1,18.314913,19.330532,17.374065,0.96
NGC_1027,465621154068371840,40.63895201305,61.3728716672,0.6785,-1.118,2.126,19.778866,20.703352,18.841816,0.05
NGC_1027,465621257157027456,40.93620525607,61.20937907838,0.565,-1.985,1.658,19.737823,21.105175,18.594807,0.16
NGC_1027,465886200794649856,39.92522898191,61.8225991887,0.932,-1.864,2.261,19.090727,20.01297,18.175144,0.42
NGC_1027,465885891557110784,40.01789077481,61.84667759309,0.6073,-2.16,1.59,18.819727,19.643486,17.93182,0.08
NGC_1027,465885620975594240,40.08075540454,61.81479091738,0.9937,-2.119,2.208,18.602232,19.687593,17.60991,0.7
NGC_1027,465885586617603456,39.97943739262,61.84538473724,1.2998,-2.393,2.907,20.42031,21.320906,19.190845,0.05
NGC_1027,465960795788526592,39.22981253125,62.32902480093,0.7923,-1.508,1.544,14.302023,14.7161255,13.711923,0.06
NGC_1027,465624109012010368,41.20643598688,61.38577095357,0.9041,-1.752,1.989,14.575735,15.076125,13.905071,1.0
NGC_1027,465624104713176576,41.20533989297,61.36943960983,0.9084,-1.415,2.121,19.341137,20.947466,18.133892,0.43
NGC_1027,465885410520548736,39.93846262382,61.79984648366,0.8952,-1.827,2.28,18.023209,19.024101,17.077692,0.99
NGC_1027,465885346102677888,39.94996579002,61.79390464977,0.9995,-1.077,2.102,15.494124,16.05578,14.763523,0.17
NGC_1027,465885311737953408,40.03875998562,61.81659140583,0.8385,-1.668,2.276,19.930841,21.022326,18.801273,0.2
NGC_1027,465624001633074304,41.13456568354,61.36451341521,0.5821,-1.263,1.378,20.196098,20.793266,19.110678,0.05
NGC_1027,465617065261069696,40.50757430308,61.12879403173,0.672,-1.313,2.338,19.855726,20.79123,18.82354,0.05
NGC_1027,465885101285169280,40.00818281515,61.78730602238,0.6348,-1.572,1.92,18.95848,20.143106,17.946095,0.38
NGC_1027,465959769297387392,39.40119369561,62.39269847809,0.8425,-1.638,1.982,15.727109,16.349535,14.9585285,1.0
NGC_1027,465623589321524352,41.11309083791,61.32430164054,1.2571,-1.677,1.875,19.81702,20.652296,18.822683,0.12
NGC_1027,465623250018590080,40.93923279234,61.35397787458,0.8792,-1.721,2.102,13.026036,13.295957,12.595498,1.0
NGC_1027,465622734622550784,40.89106569564,61.30798746887,0.8879,-1.591,1.967,15.99774,16.63229,15.221448,1.0
NGC_1027,465622562823892224,40.84226715767,61.2759239346,0.8926,-1.847,1.704,16.152637,16.833155,15.345932,1.0
NGC_1027,465622558523828096,40.82925456779,61.27158182618,0.9092,-1.697,1.865,14.886359,15.440454,14.167191,1.0
NGC_1027,465622489804404096,40.88668905494,61.2909176959,0.7158,-1.172,1.621,19.390347,20.599117,18.298166,0.13
NGC_1027,465622459744667008,40.93302587824,61.27450046526,0.6451,-2.087,2.072,17.469856,18.1328,16.69551,0.39
NGC_1027,465622421084858624,40.92116633774,61.26526305127,1.2321,-1.367,1.736,19.109184,20.33751,18.041727,0.18
