Cluster,RA_ICRS,DE_ICRS,GLON,GLAT,pmRA,pmDE,Plx,SimbadName,_RA_icrs,_DE_icrs,Source,RV,Gmag,BP-RP,Proba
NGC_1027,40.47046993913,61.72221486823,135.62047783486,1.60194197411,-1.834,2.362,0.7608,Gaia DR2  465693996721479168,40.47048660382,61.72220470063,465693996721479168,,16.7761,1.5165,0.9
NGC_1027,40.69197306755,61.53204489133,135.79510821693,1.47244160389,-1.585,2.039,0.8832,Gaia DR2  465677263529039872,40.69198738627,61.53203611223,465677263529039872,,15.0201,1.2165,1.0
NGC_1027,40.56286723941,61.54713932013,135.73284344278,1.46065720153,-1.633,2.146,0.7817,Gaia DR2  465678947156221184,40.56288200115,61.54713008014,465678947156221184,,16.2159,1.4017,1.0
NGC_1027,40.47967797147,61.50953195819,135.71226788307,1.41002116928,-1.772,2.011,0.8447,Gaia DR2  465678466120088192,40.47969396656,61.50952330039,465678466120088192,,15.7073,1.4799,1.0
NGC_1027,40.48156169488,61.5656834398,135.68990212851,1.46153701101,-1.108,1.768,0.8655,,40.48157171778,61.56567582692,465679256393859712,,15.5715,1.2549,0.2
NGC_1027,40.95977958633,61.5316563292,135.91130727141,1.52538536807,-1.845,1.98,0.8237,Gaia DR2  465629675289596544,40.95979625264,61.53164780574,465629675289596544,,16.1695,1.5035,1.0
NGC_1027,40.67908731523,61.6855599496,135.7257114003,1.60952544803,-1.718,2.224,0.9219,Gaia DR2  465681558496196480,40.67910290923,61.68555037325,465681558496196480,,12.7506,0.582,1.0
NGC_1027,40.86297810756,61.53152335322,135.86944454566,1.50594545668,-1.596,2.256,0.8938,Gaia DR2  465629812728551040,40.86299251973,61.5315136393,465629812728551040,,14.2407,1.1222,1.0
NGC_1027,40.94756291926,61.51476005996,135.91310360727,1.50760365612,-1.76,2.072,0.8869,Gaia DR2  465629572210383104,40.94757880834,61.51475113865,465629572210383104,,14.234,1.0022,1.0
NGC_1027,40.22439894131,61.59471588853,135.56635419499,1.43770229334,-2.066,2.293,0.7398,Gaia DR2  465685990902583808,40.22441763814,61.59470601421,465685990902583808,,17.5747,1.8201,0.5
NGC_1027,40.34388702362,61.28504921497,135.7454726238,1.17868495181,-1.776,1.989,0.8499,Gaia DR2  465666435907822336,40.34390294338,61.28504065141,465666435907822336,,12.4765,0.7654,1.0
NGC_1027,40.76863854082,61.56215853505,135.81579457627,1.51502516681,-1.846,2.213,1.0281,Gaia DR2  465676679413679232,40.76865523052,61.56214900502,465676679413679232,,11.9527,0.5967,0.9
NGC_1027,39.95362843682,61.62176069918,135.43771326064,1.40995558246,-0.964,2.164,0.8962,,39.95363716876,61.62175138145,465690457668579200,,14.0661,0.9547,0.4
NGC_1027,39.92972544661,61.37353270711,135.52791232253,1.17840530727,-1.745,1.954,0.8229,Gaia DR2  465659460879611648,39.92974112852,61.37352429601,465659460879611648,,16.1135,1.5618,1.0
NGC_1027,40.50565967444,61.78437404924,135.60997705238,1.66543173255,-1.729,2.293,0.9057,Gaia DR2  465694821355155328,40.50567542427,61.78436417505,465694821355155328,,14.827,1.121,1.0
NGC_1027,40.29497009397,61.5745321931,135.60526987108,1.43304902407,-1.761,2.294,0.8757,Gaia DR2  465685750384425984,40.29498601912,61.57452231782,465685750384425984,,15.9416,1.4624,1.0
NGC_1027,40.61212953099,61.48932096484,135.77818927464,1.41776319356,-1.79,2.423,1.041,Gaia DR2  465675682981118848,40.61214568133,61.48931053228,465675682981118848,,17.2791,1.812,0.8
NGC_1027,41.0192924542,61.47345455618,135.96152706068,1.48447791143,-1.683,2.148,0.7296,Gaia DR2  465628541418238080,41.01930762909,61.47344530662,465628541418238080,,17.7234,1.7294,1.0
NGC_1027,40.91279722292,61.48641055231,135.90991656383,1.47491236313,-1.832,1.846,0.8528,Gaia DR2  465629434771436160,40.9128137495,61.48640260313,465629434771436160,,14.35,1.0384,1.0
NGC_1027,40.98131314669,61.47707960046,135.94353865057,1.48015245471,-1.674,2.185,0.9081,Gaia DR2  465628644497453568,40.98132823824,61.47707019347,465628644497453568,,15.9951,1.3415,1.0
