RA_ICRS,DE_ICRS,Source,Plx,e_Plx,PM,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
40.21187647314,61.77726867071,465696986018702848,0.9622,0.0178,2.676,-1.774,2.004,31,1.51,,1.061,14.200022,14.627293,13.593457,1.033835,,43.39009976423,40.21189314341,61.77725976367,0.995292,0.4553450995485543,1,1.033835999999999,6.505575592119506e-12,0.8127439618110657,0.2976393401622772,0.49162834882736206,0.800000011920929,0.5160355567932129,0.23012836277484894,0.8127439618110657,0.63923180103302
40.14441930212,61.79753654253,465697703269237504,0.8055,0.013,1.833,-1.457,1.113,31,1.596,,0.96,12.677243,12.919834,12.276635,0.643199,,43.4218495283,40.14443300137,61.79753159779,0.829269,0.5182178346651369,1,0.6431989999999992,0.0,0.7644873857498169,0.3377239406108856,0.5612766146659851,0.7599999904632568,0.7644873857498169,2.802596928649634e-45,0.7644873857498169,0.2658131420612335
40.14683692406,61.8290158613,465698046866989696,0.8994,0.1755,2.72,-1.91,1.937,31,1.287,,0.939,18.747519,20.222078,17.6293,2.592779,,43.44995794373,40.14685490582,61.82900725387,0.919462,0.5488783097182793,1,2.592777999999999,2.802596928649634e-45,0.7398799061775208,0.04179167002439499,0.7375117540359497,0.7200000286102295,0.7398799061775208,0.7398799061775208,0.7398799061775208,0.0032007317058742046
40.26600875847,61.81271772137,465698463487913216,0.9404,0.0994,3.033,-1.813,2.431,31,1.366,,1.041,17.666979,18.556446,16.739407,1.817039,,43.41161241044,40.26602581819,61.81270691533,0.971067,0.46135964944630886,1,1.8170390000000012,0.0,0.8082751631736755,0.3044334352016449,0.6635910868644714,0.800000011920929,0.8082751631736755,0.8082751631736755,0.8082751631736755,0.1859472692012787
40.40235793848,61.84181949073,465698841444526976,0.8177,0.0186,1.659,0.175,1.65,31,1.499,,0.918,14.376892,14.830763,13.745178,1.085585,,43.41118752395,40.40235629288,61.84181215925,0.8507549999999999,0.43434380141014706,1,1.085585,2.802596928649634e-45,0.8280725479125977,0.12132368981838226,0.8098980784416199,0.8199999928474426,0.8280725479125977,0.8280725479125977,0.8280725479125977,0.021947873756289482
40.33373458087,61.84175320868,465699013243220608,1.026,0.0385,2.73,-1.847,2.01,31,1.452,,1.03,16.037275,16.625448,15.292371,1.333077,,43.4246391335,40.33375197456,61.84174427504,1.055642,0.4636754865346859,1,1.3330769999999994,6.455960332302224e-12,0.8065454959869385,0.305357962846756,0.3933379352092743,0.800000011920929,0.34657472372055054,0.10017939656972885,0.7299321889877319,0.7389117479324341
40.34752873347,61.86687790282,465699116312185088,0.8668,0.1975,3.041,-1.997,2.293,95,,1.338,0.995,18.780602,19.752445,17.722912,2.029533,,43.44475227701,40.34754755666,61.86686771122,0.8907430000000001,0.49236297866402323,1,2.0295330000000007,0.0,0.7847254872322083,0.31205832958221436,0.1779024600982666,0.0,9.180478627968114e-06,1.4699682878424938e-20,0.1589190661907196,0.7980490922927856
40.36126656468,61.88498886275,465699215097697664,0.8797,0.0549,2.701,-1.744,2.062,31,1.425,,1.086,16.665634,17.330374,15.860227,1.470147,,43.45850481549,40.36128301587,61.88497969905,0.908949,0.5128540609161477,1,1.470146999999999,6.153244146850367e-12,0.7687270641326904,0.28110069036483765,0.4965381622314453,0.7599999904632568,0.5953954458236694,0.2378106415271759,0.7687270641326904,0.6223136782646179
40.1997923866,61.84498058671,465699356840609792,0.9173,0.027,2.856,-1.816,2.204,31,1.477,,0.997,15.210553,15.719127,14.528643,1.190484,,43.45399161774,40.19980948756,61.84497079015,0.950046,0.5362260878111297,1,1.1904839999999997,1.4051213667861712e-20,0.7501077651977539,0.3092711269855499,0.4183705449104309,0.7400000095367432,0.4453085660934448,0.09316937625408173,0.7501077651977539,0.607986569404602
40.26990578713,61.84816505983,465699421256538368,0.9031,0.0939,2.688,-1.868,1.933,31,1.381,,0.992,17.708502,18.587675,16.822248,1.765427,,43.44304682387,40.26992338472,61.84815647005,0.93256,0.5029659770203241,1,1.7654270000000025,0.27942660450935364,0.7764874696731567,0.04587302729487419,0.768455982208252,0.7599999904632568,0.7764874696731567,0.7764874696731567,0.7764874696731567,0.039780519902706146
40.1871668903,61.84344407098,465699562999041536,0.9377,0.0278,2.72,-1.798,2.041,31,1.483,,1.096,15.130303,15.613747,14.44041,1.173337,,43.45508986138,40.18718382481,61.84343499979,0.970428,0.5414843429461127,1,1.173337,1.397181240699229e-20,0.745868980884552,0.24275004863739014,0.26360249519348145,0.0,0.19629907608032227,0.04362138360738754,0.4427921772003174,0.9030635356903076
