Cluster,GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Pmemb,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source,RandomI,e_RAdeg,e_DEdeg,Plx_x,e_Plx,RPlx,PM,pmRA_x,e_pmRA,pmDE_x,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag_x,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag_x,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag_x,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff,b_Teff_x,B_Teff_xa,logg,b_logg_x,B_logg_xa,[Fe/H],b_[Fe/H]_x,B_[Fe/H]_xa,Dist,b_Dist_x,B_Dist_xa,A0,b_A0_x,B_A0_xa,AG,b_AG_x,B_AG_xa,E(BP-RP),b_E(BP-RP)_x,B_E(BP-RP)_xa,Lib,RAJ2000,DEJ2000,e_RAJ2000,e_DEJ2000,RADEcorJ2000,angDist
NGC_5822,5887421979744491008,226.26094038392,-55.11305707484,0.711,-7.184,-6.019,19.94151,21.185928,18.852833,0.08,Gaia DR3 5887421979744491008,226.26094038392,-55.11305707484,0.0,0.0,10.0,1636148068921376768,5887421979744491008,473833537,0.3326,0.3404,0.711,0.5021,1.4159,9.373,-7.184,0.534,-6.019,0.481,0.008,-0.0089,-0.0046,0.0195,0.0472,0.0113,0.3056,-0.2586,-0.0372,0.0117,281,0,280,1,0.3784,298.91,0.71,0.41426,95,false,,1.2959,0.0974,0.036,0.114,-0.199,0.116,0.08,33,18,0.745408,36,0.02409,108.5,0,0,1.015,0,305,198.76641,0.830446,239.349,19.94151,0.005307,30,45.819,4.41247,10.384,21.185928,0.104596,33,228.047,4.83011,47.2138,18.852833,0.023305,1.378,0,0,0,0,0,2.333096,1.244419,1.088676,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,226.26099621128,-55.11303032309,8.55126,7.601501,0.0106,0.0
NGC_5822,5887421670528532864,226.33859455088,-55.10624756215,0.8494,-7.878,-5.74,18.118286,19.259912,17.029068,0.18,Gaia DR3 5887421670528532864,226.33859455088,-55.10624756215,0.0,0.0,153.0,1636148068921376768,5887421670528532864,1811468580,0.0999,0.1325,0.8494,0.163,5.2115,9.747,-7.878,0.15,-5.74,0.203,-0.3857,0.0129,0.2276,-0.3069,-0.2329,-0.3672,0.5941,0.1191,-0.3306,-0.4761,352,0,352,0,2.2066,425.89,0.426,1.709,31,false,1.311,,,,,,,,41,18,0.321586,44,0.005115,116.8,0,0,1.084,0,374,1065.6937,1.55261,686.388,18.118286,0.003177,36,270.055,6.03838,44.723,19.259912,0.024437,36,1223.29,7.45197,164.157,17.029068,0.007618,1.401,0,36,0,36,0,2.230844,1.141626,1.089218,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999999,4549.8,4503.1,4597.3,4.7836,4.7263,4.8064,-1.0873,-1.1988,-0.9618,578.5257,554.9637,627.171,2.5684,2.5058,2.6241,1.8446,1.7959,1.8898,1.0089,0.9817,1.0349,MARCS,226.33865575916,-55.1062220527,2.384022,3.167026,-0.4639,0.0
NGC_5822,5887421464348276352,226.40985766306,-55.12794814652,0.9205,-6.611,-5.142,19.651787,20.86815,18.541548,0.05,Gaia DR3 5887421464348276352,226.40985766306,-55.12794814652,0.0,0.0,159.0,1636148068921376768,5887421464348276352,1255678572,0.294,0.4239,0.9205,0.5444,1.6909,8.375,-6.611,0.443,-5.142,0.66,-0.3432,0.2448,0.0826,-0.3255,-0.489,-0.2051,0.73,-0.0218,-0.5667,-0.2375,278,0,278,0,0.8691,308.99,0.0,0.0,95,false,,1.3269,0.0819,-0.179,0.322,-0.373,0.068,0.313,32,16,1.015929,35,0.008078,99.26,0,0,1.036,0,287,259.55641,0.935663,277.404,19.651787,0.004786,31,61.3984,4.76222,12.8928,20.86815,0.084259,30,303.766,7.68065,39.5495,18.541548,0.027712,1.407,0,0,0,0,0,2.326603,1.216364,1.110239,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.99999,,,,,,,,,,,,,,,,,,,,,,,226.40990905394,-55.12792529409,7.07244,10.258898,-0.2233,0.0
NGC_5822,5887421429989784192,226.38450378496,-55.11748309517,0.754,-7.693,-4.407,19.41562,20.609892,18.363953,0.05,Gaia DR3 5887421429989784192,226.38450378496,-55.11748309517,0.0,0.0,162.0,1636148068921376768,5887421429989784192,1787080840,0.2384,0.303,0.754,0.4004,1.8829,8.866,-7.693,0.384,-4.407,0.51,-0.1746,0.1063,0.066,-0.1576,-0.2117,-0.1735,0.6345,-0.0542,-0.3948,-0.2325,278,0,277,1,-0.2954,298.15,0.107,0.018928,95,false,,1.1915,0.0688,-0.065,0.108,-0.248,0.132,0.103,33,16,0.761697,36,0.02872,104.1,0,0,0.986,0,293,322.62542,1.04296,309.335,19.41562,0.004462,29,77.8861,5.54935,14.0352,20.609892,0.077408,30,357.748,6.0106,59.5195,18.363953,0.018629,1.35,0,0,0,1,0,2.245939,1.194271,1.051668,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999991,,,,,,,,,,,,,,,,,,,,,,,226.38456357273,-55.11746351052,6.132449,7.971835,-0.2258,0.0
NGC_5822,5887418848690066688,226.15917732413,-55.2646639332,0.8936,-7.339,-4.57,19.330648,20.100334,18.03835,0.07,Gaia DR3 5887418848690066688,226.15917732413,-55.2646639332,0.0,0.0,108.0,1636148068921376768,5887418848690066688,488226123,0.2532,0.237,0.8936,0.3434,2.6025,8.645,-7.339,0.37,-4.57,0.342,-0.0483,0.0339,-0.1716,0.1636,0.1265,0.1082,0.2009,-0.2059,0.0268,-0.1071,284,0,281,3,1.7663,337.05,0.981,1.7903,95,false,,1.3507,0.0658,0.075,0.071,-0.089,0.0,0.093,33,19,0.52993,37,0.0251,6.395,15,0,1.075,0,310,348.88917,1.09085,319.832,19.330648,0.004372,33,124.533,4.91337,25.3457,20.100334,0.042928,30,482.857,11.0113,43.8512,18.03835,0.025046,1.741,0,33,0,30,0,2.061985,0.769686,1.292299,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999995,,,,,,,,,,,,,,,,,,,,,,,226.1592345691,-55.26464362288,5.967892,5.422007,-0.1189,0.0
NGC_5822,5887421258189883392,226.31443252273,-55.13380033771,0.8516,-6.963,-4.98,19.075348,20.195707,18.065416,0.07,Gaia DR3 5887421258189883392,226.31443252273,-55.13380033771,0.0,0.0,156.0,1636148068921376768,5887421258189883392,1197709651,0.1885,0.2324,0.8516,0.2955,2.8814,8.561,-6.963,0.297,-4.98,0.374,-0.2327,0.0904,0.0554,-0.2237,-0.2218,-0.2539,0.6077,-0.0506,-0.3429,-0.2988,314,0,312,2,0.4381,332.09,0.376,0.36747,31,false,1.312,,,,,,,,36,19,0.571472,39,0.02758,92.37,0,0,1.017,0,331,441.37494,1.15913,380.78,19.075348,0.003965,36,114.06,4.69176,24.3107,20.195707,0.044748,39,470.968,5.57473,84.4827,18.065416,0.013396,1.325,0,0,0,0,0,2.130291,1.120359,1.009932,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,226.31448665906,-55.13377820459,4.748648,5.85221,-0.2875,0.0
NGC_5822,5887421013354447104,226.3522167618,-55.1468052584,0.8929,-7.261,-5.882,19.223667,20.321915,18.127504,0.19,Gaia DR3 5887421013354447104,226.3522167618,-55.1468052584,0.0,0.0,158.0,1636148068921376768,5887421013354447104,720275542,0.2451,0.3135,0.8929,0.4042,2.2092,9.344,-7.261,0.383,-5.882,0.497,-0.2384,0.0544,0.0893,-0.2025,-0.2388,-0.1867,0.637,-0.1318,-0.3756,-0.2225,288,0,287,1,3.7458,398.07,1.4,4.2811,95,false,,1.385,0.0666,-0.089,0.134,-0.293,0.145,0.179,33,17,0.747134,36,0.03595,78.48,0,0,1.161,0,304,385.01683,1.29048,298.351,19.223667,0.004565,31,101.543,4.88855,20.7717,20.321915,0.052345,31,444.792,7.17423,61.9985,18.127504,0.017915,1.419,0,1,0,2,0,2.19441,1.098248,1.096163,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999995,,,,,,,,,,,,,,,,,,,,,,,226.35227323136,-55.1467791174,6.113588,7.759496,-0.2132,0.0
NGC_5822,5887364461568493312,226.962334827,-55.20159727624,0.8455,-7.056,-5.409,19.93573,21.603268,18.895573,0.05,Gaia DR3 5887364461568493312,226.962334827,-55.20159727624,0.0,0.0,150.0,1636148068921376768,5887364461568493312,1169011757,0.3593,0.4068,0.8455,0.4873,1.7349,8.891,-7.056,0.46,-5.409,0.565,-0.2238,0.0803,-0.0077,-0.2365,-0.1187,-0.1437,0.6049,-0.1025,-0.1191,-0.1013,274,0,272,2,-0.2576,293.32,0.42,0.13671,95,false,,1.1152,0.093,0.092,-0.003,-0.022,-0.055,-0.12,32,19,0.839016,34,0.02983,101.2,0,0,0.988,0,288,199.82742,0.907883,220.103,19.93573,0.00565,30,31.1968,2.93983,10.6118,21.603268,0.102352,31,219.245,5.03075,43.5809,18.895573,0.025198,1.253,0,0,0,0,0,2.707695,1.667538,1.040157,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,226.9623897806,-55.20157323524,7.366002,8.796285,-0.086,0.0
NGC_5822,5887420742793106560,226.19786074055,-55.12358239762,1.325,-6.976,-4.814,19.536757,20.161478,18.272837,0.12,Gaia DR3 5887420742793106560,226.19786074055,-55.12358239762,0.0,0.0,162.0,1636148068921376768,5887420742793106560,839189477,0.2919,0.3238,1.325,0.4487,2.9526,8.476,-6.976,0.443,-4.814,0.44,-0.0761,0.0022,0.0283,-0.0105,0.0217,0.0144,0.3374,-0.2126,-0.0496,0.0267,286,0,285,1,6.4509,527.11,1.623,4.7105,95,false,,1.1651,0.0897,0.007,0.061,-0.215,0.161,0.186,34,17,0.627584,38,0.01856,140.6,0,0,1.284,0,316,288.56512,1.10052,262.209,19.536757,0.004974,36,117.713,11.75,10.0182,20.161478,0.108413,36,389.066,7.72785,50.3459,18.272837,0.021894,1.756,0,36,0,36,0,1.888641,0.624722,1.26392,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999991,,,,,,,,,,,,,,,,,,,,,,,226.1979149634,-55.12356100371,7.080943,6.932772,0.0267,0.0
NGC_5822,5887364221001425024,226.96079744431,-55.2230423408,0.7967,-7.091,-5.624,19.843252,21.164167,18.629623,0.13,Gaia DR3 5887364221001425024,226.96079744431,-55.2230423408,0.0,0.0,141.0,1636148068921376768,5887364221001425024,704542106,0.3591,0.3727,0.7967,0.4546,1.7525,9.051,-7.091,0.475,-5.624,0.523,-0.1771,0.0012,0.0823,-0.2016,-0.1328,-0.12,0.6054,-0.1542,-0.1526,-0.0599,266,0,266,0,-0.9031,250.16,0.0,0.0,95,false,,1.4223,0.0882,0.142,0.014,-0.023,-0.096,-0.086,31,20,0.775277,33,0.01102,107.8,0,0,0.959,0,276,217.59337,0.939416,231.626,19.843252,0.005437,18,46.7466,6.76041,6.91476,21.164167,0.157042,18,280.097,7.71932,36.2853,18.629623,0.03016,1.502,0,0,0,0,0,2.534544,1.320915,1.213629,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999994,,,,,,,,,,,,,,,,,,,,,,,226.96085270058,-55.22301734657,7.574649,8.153451,-0.0468,0.0
NGC_5822,5887363224570367488,226.85074304186,-55.24645572456,0.887,-7.009,-5.458,19.305931,20.306787,17.999249,0.1,Gaia DR3 5887363224570367488,226.85074304186,-55.24645572456,0.0,0.0,153.0,1636148068921376768,5887363224570367488,1223460104,0.2179,0.2621,0.887,0.3363,2.6371,8.883,-7.009,0.29,-5.458,0.418,-0.254,0.0558,0.0125,-0.2074,-0.2948,-0.1655,0.5414,0.0381,-0.3125,-0.1989,264,0,263,1,0.2515,280.71,0.0,1.2536E-15,95,false,,1.3228,0.0614,0.034,0.017,-0.07,-0.041,-0.019,31,18,0.61399,33,0.0234,115.7,9,0,1.01,0,279,356.92293,1.16963,305.158,19.305931,0.0045,33,102.968,7.08242,14.5385,20.306787,0.074732,32,500.563,9.38847,53.3168,17.999249,0.020712,1.691,0,33,0,32,0,2.307539,1.000856,1.306683,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,226.8507976869,-55.24643146588,4.645205,6.542432,-0.1869,0.0
NGC_5822,5887363014123168768,226.73974324318,-55.26328982372,0.7114,-7.895,-4.776,18.511074,19.600725,17.46704,0.06,Gaia DR3 5887363014123168768,226.73974324318,-55.26328982372,0.0,0.0,153.0,1636148068921376768,5887363014123168768,1008312210,0.1231,0.1642,0.7114,0.2163,3.2887,9.227,-7.895,0.173,-4.776,0.256,-0.3948,0.1819,0.1103,-0.339,-0.4659,-0.3479,0.6048,0.1497,-0.3889,-0.4563,328,0,327,1,0.3555,366.64,0.246,0.36238,95,false,,1.2723,0.0333,-0.026,0.142,-0.165,-0.015,0.11,38,18,0.399496,39,0.01504,150.8,0,0,1.013,0,324,742.19296,1.20709,614.863,18.511074,0.003273,37,197.3,6.3857,30.8972,19.600725,0.035251,37,817.226,7.31496,111.72,17.46704,0.010427,1.367,0,1,0,1,0,2.133686,1.089651,1.044035,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999988,3870.3,3847.5,3904.6,4.7655,4.7456,4.7855,-0.3975,-0.4362,-0.365,661.4722,638.6175,687.6792,1.4032,1.3456,1.4665,0.9679,0.9277,1.0123,0.5356,0.515,0.5592,PHOENIX,226.739804823,-55.26326859531,2.75087,3.994214,-0.44,0.0
NGC_5822,5887362670521877632,226.78425482431,-55.29270510788,1.4571,-7.139,-6.143,19.055857,20.314693,17.947693,0.18,Gaia DR3 5887362670521877632,226.78425482431,-55.29270510788,0.0,0.0,152.0,1636148068921376768,5887362670521877632,780144013,0.1898,0.2496,1.4571,0.3346,4.3551,9.418,-7.139,0.266,-6.143,0.413,-0.4019,0.2146,0.0741,-0.354,-0.4885,-0.3279,0.5612,0.109,-0.3851,-0.4539,307,0,306,1,1.7898,373.55,0.584,0.93897,95,false,,1.2945,0.0537,-0.007,0.159,-0.135,-0.041,0.032,35,18,0.633917,37,0.002666,174.4,0,0,1.073,0,321,449.37022,1.12036,401.096,19.055857,0.003863,31,102.221,4.75266,21.5081,20.314693,0.050557,32,524.905,5.52504,95.0047,17.947693,0.012037,1.396,0,0,0,0,0,2.367001,1.258837,1.108164,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999998,,,,,,,,,,,,,,,,,,,,,,,226.78431054978,-55.29267780783,4.243606,6.469358,-0.4364,0.0
NGC_5822,5887419196627122816,226.24768878956,-55.23359185923,0.9366,-7.822,-5.604,19.592434,20.658579,18.466526,0.27,Gaia DR3 5887419196627122816,226.24768878956,-55.23359185923,0.0,0.0,48.0,1636148068921376768,5887419196627122816,548680693,0.2751,0.2711,0.9366,0.3942,2.3758,9.622,-7.822,0.411,-5.604,0.388,0.1559,0.2221,0.0226,0.162,0.1112,0.153,0.3875,-0.0891,0.101,0.1537,306,0,304,2,-1.4003,300.74,0.0,0.0,95,false,,1.1792,0.075,0.039,0.17,-0.081,0.09,0.109,35,19,0.604542,40,0.02603,79.02,0,0,0.942,0,336,274.14036,0.962141,284.928,19.592434,0.004702,38,74.4707,3.67572,20.2602,20.658579,0.053662,37,325.498,5.35464,60.788,18.466526,0.018257,1.459,0,0,0,0,0,2.192053,1.066145,1.125908,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,226.24774975387,-55.23356695443,6.575341,6.105465,0.1428,0.0
NGC_5822,5887364633358700672,226.95561525219,-55.17995008247,1.5181,-7.686,-5.285,18.531273,19.453798,17.26379,0.05,Gaia DR3 5887364633358700672,226.95561525219,-55.17995008247,0.0,0.0,143.0,1636148068921376768,5887364633358700672,1580326975,0.3462,0.3843,1.5181,0.5055,3.0034,9.327,-7.686,0.477,-5.285,0.518,-0.3433,0.0309,-0.0791,-0.1308,-0.0609,-0.0964,0.3247,-0.0957,-0.0328,-0.293,319,0,318,1,34.6739,2358.4,3.814,81.955,95,false,,1.3745,0.0844,0.056,0.08,-0.116,0.066,-0.017,36,21,0.7963,38,0.1373,95.9,49,0,2.67,0,331,728.51404,4.30238,169.328,18.531273,0.006979,34,225.89,4.94903,45.6433,19.453798,0.02395,34,985.467,6.72786,146.475,17.26379,0.00832,1.663,0,1,0,2,0,2.190008,0.922525,1.267483,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999996,,,,,,,,,,,,,,,,,,,,,,,226.95567507411,-55.17992659491,7.672454,8.173496,-0.286,0.0
NGC_5822,5887359067044187008,226.93090429765,-55.34265654506,1.3977,-7.001,-6.602,19.88931,21.174751,18.672638,0.06,Gaia DR3 5887359067044187008,226.93090429765,-55.34265654506,0.0,0.0,155.0,1636148068921376768,5887359067044187008,75493451,0.3372,0.4068,1.3977,0.5322,2.6263,9.622,-7.001,0.458,-6.602,0.618,-0.2212,0.1045,0.0545,-0.2028,-0.2836,-0.1714,0.4938,-0.0333,-0.2632,-0.2022,272,9,272,0,0.6789,304.61,0.894,0.63061,95,false,,1.2396,0.1017,-0.001,0.108,-0.102,-0.061,-0.078,31,18,0.910739,31,0.01456,82.28,1,0,1.028,0,267,208.55605,0.988318,211.021,19.88931,0.005836,30,46.2931,5.90423,7.84067,21.174751,0.138503,28,269.217,6.51464,41.325,18.672638,0.026544,1.513,0,0,0,0,0,2.502113,1.28544,1.216673,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999995,,,,,,,,,,,,,,,,,,,,,,,226.9309590104,-55.34262720471,7.324911,9.700175,-0.1903,0.0
NGC_5822,5887177918210286720,229.25545775363,-53.96970451436,0.9039,-7.398,-5.952,18.675716,19.764658,17.679422,0.06,Gaia DR3 5887177918210286720,229.25545775363,-53.96970451436,0.0,0.0,142.0,1636148068921376768,5887177918210286720,151187531,0.1333,0.1401,0.9039,0.1993,4.5357,9.495,-7.398,0.175,-5.952,0.196,-0.1967,-0.2468,-0.0414,-0.2029,0.0076,-0.1905,0.2464,-0.0476,0.0922,-0.2138,355,0,355,0,0.2823,389.4,0.383,0.72468,95,false,,1.292,0.0386,0.151,0.105,-0.126,-0.081,-0.0,40,19,0.291146,46,0.005008,105.2,0,0,1.01,0,407,637.76405,1.12107,568.889,18.675716,0.003352,39,169.65,5.8893,28.8064,19.764658,0.037794,43,672.031,6.51493,103.152,17.679422,0.011184,1.32,0,2,0,1,0,2.085236,1.088942,0.996294,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.99999,3697.2,3660.9,3745.1,4.8993,4.7875,4.9524,-0.6983,-0.7989,-0.5396,586.1602,522.1194,700.694,0.7002,0.6406,0.7682,0.4854,0.4434,0.5338,0.2685,0.2458,0.2951,PHOENIX,229.25551365299,-53.96967806046,2.803543,3.109773,-0.1974,0.0
NGC_5822,5887143528465277184,228.83228894879,-54.27943085796,0.9206,-6.821,-5.75,19.81963,20.633245,18.542389,0.09,Gaia DR3 5887143528465277184,228.83228894879,-54.27943085796,0.0,0.0,166.0,1636148068921376768,5887143528465277184,1112772236,0.3449,0.4003,0.9206,0.5439,1.6927,8.921,-6.821,0.521,-5.75,0.611,-0.0824,0.0356,-0.0555,-0.1062,-0.1274,-0.1389,0.4245,-0.2806,0.1566,-0.2615,295,0,294,1,5.5784,461.56,1.987,3.923,95,false,,1.4718,0.1083,-0.017,0.038,-0.15,0.046,-0.036,34,18,0.917732,38,0.06172,13.13,0,0,1.24,0,300,222.37949,1.36556,162.849,19.81963,0.007214,22,76.2287,7.02639,10.8489,20.633245,0.100117,22,303.531,8.37861,36.2269,18.542389,0.030208,1.708,0,22,0,22,0,2.090857,0.813616,1.277241,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999995,,,,,,,,,,,,,,,,,,,,,,,228.83234087541,-54.27940530419,8.35948,9.614315,-0.255,0.0
NGC_5822,5887144421789931520,229.08465588877,-54.24879705582,1.1228,-7.553,-5.861,19.136707,20.327852,18.043486,0.21,Gaia DR3 5887144421789931520,229.08465588877,-54.24879705582,0.0,0.0,36.0,1636148068921376768,5887144421789931520,1024097055,0.1891,0.191,1.1228,0.284,3.954,9.56,-7.553,0.252,-5.861,0.269,0.0288,-0.1233,-0.1157,-0.1062,-0.1272,-0.0685,0.0795,-0.1894,0.2012,-0.0892,268,0,268,0,-1.0788,249.77,0.0,0.0,31,false,1.3,,,,,,,,31,18,0.385128,38,0.01452,19.46,0,0,0.952,0,327,417.12301,1.26935,328.611,19.136707,0.004302,34,100.99,3.49945,28.8587,20.327852,0.037726,34,480.578,6.59009,72.9244,18.043486,0.015361,1.394,0,27,0,30,0,2.284367,1.191145,1.093222,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999999,,,,,,,,,,,,,,,,,,,,,,,229.08471334574,-54.24877100751,4.051715,4.300647,-0.0808,0.0
NGC_5822,5887144421789915136,229.07997733504,-54.25332177919,0.8964,-7.215,-4.738,19.337362,20.201973,18.205587,0.05,Gaia DR3 5887144421789915136,229.07997733504,-54.25332177919,0.0,0.0,110.0,1636148068921376768,5887144421789915136,1398637948,0.2376,0.2325,0.8964,0.3391,2.6438,8.632,-7.215,0.324,-4.738,0.324,-0.0184,-0.0644,-0.1214,-0.0099,5.0E-4,0.0156,0.0354,-0.2607,0.2261,-0.0309,276,0,275,1,3.4087,372.77,1.214,2.9949,95,false,,1.3889,0.0709,0.028,0.011,-0.044,0.02,-0.113,32,17,0.46418,38,0.001208,7.56,0,0,1.149,0,319,346.73804,1.10868,312.747,19.337362,0.004432,14,113.404,11.5533,9.81568,20.201973,0.110648,12,413.927,14.8279,27.9154,18.205587,0.039077,1.521,0,0,0,0,0,1.996386,0.864611,1.131775,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999993,,,,,,,,,,,,,,,,,,,,,,,229.0800322248,-54.25330072087,5.215372,5.17821,-0.031,0.0
NGC_5822,5887144490510262400,229.05134861675,-54.22868607468,0.8015,-6.744,-5.307,20.193914,21.102474,18.933096,0.05,Gaia DR3 5887144490510262400,229.05134861675,-54.22868607468,0.001,0.0,62.0,1636148068921376768,5887144490510262400,1061671637,0.5334,0.4758,0.8015,0.6524,1.2285,8.582,-6.744,0.733,-5.307,0.748,0.1702,0.1631,-0.4586,-0.1069,0.1539,-0.14,-0.1318,-0.304,-0.0691,0.038,224,0,222,2,1.5681,265.94,1.417,1.0194,95,false,,1.3474,0.1564,0.214,0.205,0.191,-0.163,-0.365,26,16,1.081619,32,0.01019,49.24,1,0,1.075,0,274,157.53632,0.968031,162.739,20.193914,0.007218,22,49.4797,4.40731,11.2268,21.102474,0.09675,30,211.797,8.53968,24.8015,18.933096,0.04394,1.659,0,12,0,14,0,2.169378,0.90856,1.260818,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,,,,,,,,,,,,,,,,,,,,,,,229.05139989605,-54.22866248964,11.976209,12.032933,0.0475,0.0
NGC_5822,5887145315143484032,228.91085653132,-54.20700445165,1.1677,-7.362,-5.188,20.031002,20.749283,18.820446,0.12,Gaia DR3 5887145315143484032,228.91085653132,-54.20700445165,0.0,0.0,73.0,1636148068921376768,5887145315143484032,413141693,0.3728,0.3314,1.1677,0.5266,2.2173,9.006,-7.362,0.514,-5.188,0.473,0.0814,0.0237,-0.2958,-0.029,-0.041,-0.0073,0.0302,-0.2505,0.2553,0.0209,279,0,279,0,0.0904,292.12,0.108,0.0084571,95,false,,1.2741,0.1141,0.066,0.054,-0.107,0.03,-0.216,32,19,0.729188,37,0.01572,102.9,0,0,1.003,0,296,183.04006,0.857527,213.451,20.031002,0.005785,17,68.5021,7.27629,9.41443,20.749283,0.115361,17,234.952,21.0278,11.1734,18.820446,0.097245,1.658,0,0,0,0,0,1.928837,0.718281,1.210556,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999992,,,,,,,,,,,,,,,,,,,,,,,228.91091247568,-54.20698139598,8.34292,7.560538,0.0223,0.0
NGC_5822,5887145727460376832,228.94108848797,-54.18347252588,0.7043,-7.464,-5.486,19.97634,21.017456,18.822021,0.06,Gaia DR3 5887145727460376832,228.94108848797,-54.18347252588,0.0,0.0,63.0,1636148068921376768,5887145727460376832,267750680,0.4018,0.3302,0.7043,0.5023,1.4021,9.263,-7.464,0.582,-5.486,0.486,0.272,0.1032,-0.345,-0.1401,0.0645,-0.1432,0.0112,-0.2142,0.273,0.2461,290,0,288,2,0.9019,317.25,0.0,0.0,95,false,,1.4444,0.1125,0.222,0.124,0.031,-0.147,-0.2,33,19,0.861018,38,0.02881,114.3,1,0,1.037,0,324,192.49113,0.921496,208.89,19.97634,0.005883,12,53.51,4.75503,11.2533,21.017456,0.096522,12,234.612,5.58398,42.0151,18.822021,0.026116,1.497,0,0,0,0,0,2.195435,1.041117,1.154318,,,,,,,,,,,,,,,,,,,,,,,NOT_AVAILABLE,0.0,0.0,0.999997,,,,,,,,,,,,,,,,,,,,,,,228.94114517282,-54.18344814581,9.46052,7.776248,0.2546,0.0
