RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
225.04608737643,-56.14953121876,5881270968107212032,1.1512,-9.094,-5.435,31,1.316,,0.989,18.713346,19.904379,17.680145,2.224234,,-37.24049844316,225.04615993694,-56.1495070625,1.174809,1
225.02215005486,-56.14735004759,5881271036837171584,1.2696,-5.66,-6.432,95,,1.3218,1.208,19.791704,20.870564,18.71821,2.152353,,-37.24316612775,225.02219521192,-56.14732146055,1.254279,1
224.95134308706,-56.19378757331,5881271242986729984,1.1585,-8.802,-5.832,95,,1.304,1.069,20.506245,21.133154,19.363924,1.76923,,-37.3005411411,224.95141339777,-56.19376165253,1.12644,1
224.90258151135,-56.15986140585,5881271552222835200,1.3312,-8.157,-4.861,95,,1.323,1.046,20.342794,21.533476,19.38316,2.150316,,-37.2784198012,224.90264660874,-56.15983980061,1.305343,1
224.94424397721,-56.14362686227,5881271620943324672,1.3875,-7.595,-4.545,95,,1.2643,1.046,20.464888,21.774271,19.50857,2.265701,,-37.25502328983,224.94430456723,-56.14360666432,1.342274,1
224.93997737521,-56.14431766425,5881271620943970688,1.2196,-9.124,-6.452,95,,1.3602,0.958,20.83567,21.590137,19.950514,1.639624,,-37.25651024846,224.94005016105,-56.14428898867,1.20481,1
224.98755708187,-56.08274993094,5881272239419483264,1.2312,-6.384,-6.5,95,,1.4872,1.164,20.64225,,,,,-37.18954017303,224.98760792659,-56.08272104406,1.246936,1
225.01346223092,-56.07496328255,5881272273779261184,1.3861,-6.795,-4.749,95,,1.278,1.062,20.293571,20.797407,18.91122,1.886187,,-37.17715124246,225.01351634601,-56.07494217588,1.3472810000000002,1
225.02377362288,-56.04682473551,5881273785606253952,1.2884,-7.428,-5.795,95,,1.4018,0.982,20.719973,,,,,-37.14879113766,225.0238327293,-56.04679898049,1.284636,1
224.88282941405,-56.14707667665,5881274507161329408,1.2747,-7.941,-6.75,95,,1.444,1.013,20.577766,21.545446,19.686882,1.858564,,-37.27035947322,224.8828927679,-56.14704667605,1.279995,1
224.97509899219,-56.06105056433,5881275228716045056,1.3449,-6.498,-6.039,95,,1.2778,1.054,20.505539,21.390434,19.472383,1.918051,,-37.17169451644,224.97515071757,-56.06102372522,1.304195,1
224.9098330443,-56.07353923374,5881275331794457216,1.1277,-6.899,-6.724,95,,1.3317,1.047,20.180216,21.233759,19.285046,1.948713,,-37.19625261291,224.909887983,-56.07350934998,1.104399,1
224.81960911939,-56.10740032864,5881275606672288512,1.1968,-6.349,-5.744,95,,1.367,1.106,20.073168,21.20989,19.07608,2.13381,,-37.245741351,224.81965972272,-56.10737479871,1.181653,1
224.8194057558,-56.04027248991,5881276053348286592,1.1565,-5.466,-5.492,95,,1.3161,0.976,20.357838,,,,,-37.18300814338,224.81944924355,-56.04024808162,1.128742,1
