RA_ICRS,DE_ICRS,Source,Plx,pmRA,pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
225.96996631663,-56.25590871692,5881299417944558336,1.3778,-7.748,-4.688,95,,1.2663,1.08,20.603844,21.438833,19.158937,2.279896,,-37.16029226133,225.97002830676,-56.25588788224,1.331918
225.78427501523,-56.23661465997,5881300276934954880,1.0747,-6.164,-4.13,95,,1.2579,1.042,18.74255,20.063082,17.147356,2.915726,,-37.17805723277,225.78432431205,-56.23659630595,1.108021
225.90748321124,-56.20255704613,5881300517453168640,1.2693,-7.957,-5.193,95,,1.3417,1.059,20.355171,21.968739,19.234226,2.734512,,-37.12230876616,225.90754678905,-56.20253396642,1.2486400000000002
225.58849930801,-56.31668306939,5881301170290337408,1.2222,-5.543,-5.495,95,,1.2864,1.132,20.392855,21.768219,19.222282,2.545937,,-37.29102634857,225.58854372703,-56.31665864838,1.185146
225.6746016196,-56.27467522672,5881301543956543744,1.3264,-6.301,-5.814,95,,1.2663,1.058,19.785612,21.28687,18.42387,2.862999,,-37.23496904457,225.67465206146,-56.27464938473,1.301399
225.82212928993,-56.17054931493,5881303781631699584,1.2631,-5.936,-5.426,95,,1.2575,1.013,20.34633,,,,,-37.10879334502,225.82217667644,-56.17052519777,1.217056
225.71361110551,-56.17316157778,5881304327094176768,1.1309,-8.869,-6.116,31,1.48,,0.935,15.530508,16.03353,14.867579,1.16595,,-37.13226527462,225.71368191255,-56.17313439665,1.171852
225.78587262771,-56.11995177019,5881304915503276544,1.3138,-6.881,-4.325,95,,1.3057,1.115,20.463366,21.715073,19.31788,2.397192,,-37.06837250874,225.78592748836,-56.11993254806,1.282703
225.77320220337,-56.09470522842,5881304984222843520,1.2092,-6.172,-4.484,95,,1.3039,1.042,20.06539,21.290316,18.877848,2.412468,,-37.04715672327,225.77325138068,-56.09468529976,1.179237
225.94452393102,-56.21268891732,5881305637099757952,1.2368,-7.078,-4.464,95,,1.2473,1.1,20.356535,21.579607,19.136925,2.442682,,-37.12466199315,225.94458049567,-56.21266907555,1.186994
226.01820425593,-56.14372836423,5881306221207762048,1.162,-6.23,-3.588,95,,1.4152,1.114,20.089128,21.583864,19.00439,2.579474,,-37.04576322205,226.01825395432,-56.14371241608,1.157297
226.00336408307,-56.09002735778,5881307389404647296,1.297,-5.498,-3.747,95,,1.431,1.09,20.527325,21.779358,18.724396,3.054962,,-36.9982422904,226.00340788536,-56.090010705,1.298984
226.18130788949,-56.06123187354,5881308248398271488,1.346,-6.329,-4.779,95,,1.3448,1.065,20.28721,21.466534,19.226147,2.240387,,-36.93692938731,226.18135827129,-56.06121063398,1.326217
226.0432779118,-56.09839242714,5881308591995481216,1.2768,-8.199,-4.555,95,,1.3523,0.959,20.720348,22.10672,19.618967,2.487753,,-36.99839113827,226.04334324747,-56.09837218483,1.2596619999999998
226.05544121806,-56.01550220771,5881309485345691776,1.2158,-6.122,-3.766,95,,1.3004,1.027,19.800087,20.97425,18.389868,2.584383,,-36.91825868785,226.05548989636,-56.01548546915,1.1964
225.85857485465,-56.09896581108,5881310099531972992,1.3711,-5.747,-3.968,95,,1.2425,0.992,19.803247,21.520403,18.607363,2.91304,,-37.0346124021,225.85862065278,-56.09894817741,1.340255
225.85932409538,-56.09524375205,5881310103823896192,1.2983,-6.274,-4.745,95,,1.4223,1.068,20.270918,21.799534,18.972504,2.82703,,-37.03097661443,225.85937408442,-56.09522266263,1.296394
225.91184585131,-56.02465240411,5881310756659173888,1.1787,-7.297,-5.398,95,,1.558,1.07,20.411375,21.748196,19.392838,2.355358,,-36.95459701195,225.91190388679,-56.02462841162,1.2070880000000002
