RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,aux,pert_class,BPmag-RPmag,min,max,std,avg,mode,median,Q1,Q3,excl
122.71879388259,-12.8299479837,5727489801488330240,0.0116,0.0093,0.7422,0.016,2.366,-2.278,0.018,-0.64,0.014,31,1.625,,1.083,13.408608,13.60427,13.086301,0.517969,,-32.00829756494,122.71880426706,-12.82994514097,0.784488,0.09902320672752316,1,0.517968999999999,0.9632368087768555,0.9902423024177551,0.0008039167150855064,0.9898850321769714,0.9800000190734863,0.9900671243667603,0.989863395690918,0.9902423024177551,0.0
122.72736666781,-12.81910587035,5727489835848062464,0.0141,0.0125,0.7619,0.0177,2.518,-2.458,0.02,-0.546,0.019,31,1.605,,1.02,13.910141,14.142496,13.532476,0.61002,30.7,-31.99569026073,122.72737787049,-12.81910344589,0.8042,0.11542707264071993,1,0.6100199999999987,0.9799673557281494,0.9867649674415588,0.00042453603236936033,0.986594021320343,0.9800000190734863,0.9867649674415588,0.9865586757659912,0.9867649674415588,0.0
122.7081324286,-12.8220141342,5727489870207810304,0.0152,0.0123,0.7412,0.0204,2.36,-2.3,0.024,-0.529,0.018,31,1.556,,0.969,14.40612,14.732273,13.914111,0.818162,44.43,-32.0032582219,122.70814291328,-12.82201178475,0.783192,0.08388202328764054,1,0.8181619999999992,0.9923388361930847,0.9929885268211365,6.0422858950914815e-05,0.9929586052894592,0.9800000190734863,0.9929885268211365,0.9929521679878235,0.9929885268211365,0.0
122.70321071713,-12.83310616637,5727489870207816960,0.0162,0.0136,0.7096,0.0228,2.429,-2.369,0.025,-0.532,0.02,31,1.581,,1.007,14.570816,14.84818,14.136818,0.711362,,-32.01520438559,122.70322151799,-12.83310379984,0.751972,0.07348398244076347,1,0.7113619999999994,0.9902241230010986,0.9946146607398987,0.00022772412921767682,0.9945611357688904,0.9800000190734863,0.9946146607398987,0.9945706725120544,0.9946146607398987,0.0
122.6828149684,-12.83745365472,5727489938927303168,0.0339,0.0288,0.7587,0.0503,2.329,-2.257,0.056,-0.576,0.048,31,1.46,,0.957,16.305496,16.863527,15.598526,1.265001,,-32.02444924263,122.68282525531,-12.83745109461,0.7909820000000001,0.04073352934063632,1,1.2650010000000016,0.996618390083313,0.9983421564102173,0.00019219530804548413,0.9982402324676514,0.9800000190734863,0.9983421564102173,0.998201310634613,0.9983421564102173,0.0
122.68288621803,-12.82003624976,5727489973287037824,0.0286,0.0241,0.8295,0.0446,2.409,-2.344,0.048,-0.555,0.039,31,1.525,,1.075,15.882982,16.279955,15.328008,0.951947,,-32.00758237751,122.68289690073,-12.82003378315,0.872047,0.04666027108567386,1,0.9519470000000005,0.9958651661872864,0.9978252053260803,0.00020913909247610718,0.9976638555526733,0.9800000190734863,0.9977297186851501,0.9976336359977722,0.9977827668190002,0.0
122.67577040866,-12.8274968837,5727489973287041664,0.0131,0.0109,0.7382,0.0183,2.385,-2.32,0.02,-0.555,0.017,31,1.65,,1.126,13.0018,13.15393,12.739322,0.414608,,-32.01655713465,122.67578098251,-12.82749441677,0.775868,0.030844800132012226,1,0.4146080000000012,0.9967965483665466,0.9990490674972534,0.00025922968052327633,0.9987536668777466,0.9800000190734863,0.9988100528717041,0.9986432790756226,0.9989262819290161,0.0
122.66572242831,-12.8159680405,5727490042002961152,0.0193,0.0182,0.7537,0.03,2.588,-2.517,0.028,-0.601,0.024,31,1.589,,1.347,14.345663,14.577865,13.871535,0.706329,33.98,-32.00788509243,122.6657339021,-12.81596537014,0.796041,0.032568264321347164,1,0.7063299999999995,0.894346296787262,0.9989398717880249,0.009067551232874393,0.9975247979164124,0.9800000190734863,0.9989398717880249,0.9989398717880249,0.9989398717880249,0.0
122.71270439973,-12.805793027,5727490110725971200,0.015,0.0129,0.7468,0.0211,2.648,-2.499,0.024,-0.877,0.02,31,1.58,,1.058,14.334759,14.61423,13.891626,0.722604,25.34,-31.98643684919,122.71271578898,-12.80578912825,0.789034,0.10056601846950541,1,0.7226039999999987,0.989937424659729,0.989937424659729,3.3306690738754696e-16,0.989937424659729,0.9800000190734863,0.989937424659729,0.989937424659729,0.989937424659729,0.0
122.69797698369,-12.79654146791,5727490179445451904,0.0104,0.0087,0.7586,0.0137,2.526,-2.438,0.014,-0.662,0.013,31,1.635,,0.992,13.319036,13.497258,13.016298,0.48096,,-31.98112627875,122.69798809657,-12.79653852701,0.800976,0.09010291970581366,1,0.4809599999999996,0.9850812554359436,0.9919143319129944,0.0007053102017380297,0.9916827082633972,0.9800000190734863,0.9919143319129944,0.9917290806770325,0.9919143319129944,0.0
122.69215483987,-12.79363875604,5727490179445453952,0.0126,0.0105,0.7492,0.0175,2.455,-2.411,0.018,-0.463,0.015,31,1.698,,0.982,12.040582,12.113927,11.904175,0.209752,23.16,-31.97975643554,122.69216582774,-12.7936366977,0.798172,0.08721306327665186,1,0.20975199999999994,0.9907091856002808,0.9924227595329285,0.00024857575772330165,0.9922568798065186,0.9800000190734863,0.9924227595329285,0.9921483397483826,0.9924227595329285,0.0
122.78675991087,-12.85827909448,5727490213801566464,0.0152,0.0131,0.7717,0.0205,2.324,-2.267,0.021,-0.512,0.02,31,1.696,,1.08,11.975484,12.052844,11.833236,0.219608,26.61,-32.01888279034,122.78677024579,-12.85827681834,0.8228040000000001,0.21310564105016264,1,0.2196080000000009,0.9542978405952454,0.9556017518043518,0.00020922454132232815,0.9554821848869324,0.9399999976158142,0.9556017518043518,0.9554020166397095,0.9556017518043518,0.0
122.79548432938,-12.84921593925,5727490248164901632,0.0672,0.064,0.7426,0.0953,2.184,-2.143,0.097,-0.42,0.103,31,1.414,,1.047,17.355986,18.084917,16.533016,1.551901,,-32.00795600182,122.79549409945,-12.84921407327,0.771761,0.22484406434062776,1,1.5519010000000009,0.9506498575210571,0.9507017731666565,1.594562377249531e-06,0.9507017135620117,0.9399999976158142,0.9507017731666565,0.9507017731666565,0.9507017731666565,0.0
122.77331003737,-12.83796714966,5727490278223922560,0.0619,0.0582,0.7985,0.0872,2.44,-2.405,0.091,-0.415,0.092,31,1.44,,1.04,17.221977,17.830822,16.479809,1.351013,,-32.00256736969,122.77332099922,-12.83796530305,0.828098,0.18749735301574738,1,1.3510130000000018,0.9654027819633484,0.9654555320739746,2.656200877027004e-06,0.9654552936553955,0.9599999785423279,0.9654555320739746,0.9654555320739746,0.9654555320739746,0.0
122.77147329345,-12.84796316401,5727490278226459136,0.0118,0.0104,0.7682,0.0162,2.352,-2.302,0.017,-0.479,0.016,31,1.673,,0.897,12.670797,12.784208,12.47271,0.311499,,-32.01269048575,122.77148378952,-12.84796103497,0.804415,0.1858550897352976,1,0.3114980000000003,0.961783230304718,0.9660476446151733,0.00042678273166529834,0.965761125087738,0.9599999785423279,0.9658766984939575,0.9656780362129211,0.9660476446151733,0.0
