RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr
121.30306093546,-11.34409426183,3037740418966764160,0.0159,0.0114,0.6991,0.0244,2.33,-2.232,0.024,-0.667,0.017,31,1.562,,0.983,14.963515,15.277754,14.486103,0.791651,,-30.91076716767,121.30307105323,-11.34409129618,0.7416520000000001
121.41154823241,-11.30242035514,3037741892135591680,0.062,0.043,0.6649,0.1053,2.053,-2.034,0.099,0.281,0.067,31,1.409,,1.0,17.750563,18.4657,16.94256,1.52314,,-30.84466819608,121.41155745156,-11.30242160304,0.692389
121.3646569588,-11.30496839262,3037742033874422016,0.0313,0.0228,0.7728,0.0517,4.123,-4.123,0.05,0.004,0.034,31,1.497,,1.037,16.527096,16.975077,15.868687,1.10639,,-30.85823733561,121.36467564356,-11.30496840886,0.8049040000000001
121.4133575077,-11.26950013826,3037742583630465664,0.0602,0.0433,0.8108,0.1066,3.486,-3.376,0.1,0.868,0.067,31,1.397,,1.016,17.754427,18.510214,16.924032,1.586182,,-30.81229346804,121.41337280576,-11.26950399824,0.8383459999999999
121.63220938092,-11.30548276008,3037820644655780992,0.124,0.0863,0.8364,0.21,4.088,-3.991,0.229,0.886,0.125,95,,1.3592,1.032,18.912024,19.946062,17.984716,1.961346,,-30.79523950843,121.63222746881,-11.3054866969,0.857877
121.74110828571,-11.3201704793,3037820923833300864,0.0343,0.0237,0.7176,0.0585,3.952,-3.942,0.058,-0.276,0.034,31,1.431,,1.031,16.554287,17.199133,15.788239,1.410894,,-30.78351407236,121.74112615384,-11.32016925384,0.749171
121.71811428799,-11.27216931539,3037821400570039168,0.1602,0.1121,0.7176,0.2934,3.14,-3.08,0.286,0.609,0.161,95,,1.3952,1.007,19.130886,19.866747,18.343813,1.522934,,-30.74244659242,121.71812824559,-11.27217202364,0.733275
121.76855083968,-11.27964061443,3037821507946046080,0.1716,0.1231,0.8311,0.2983,2.626,-2.603,0.301,0.349,0.176,31,1.351,,1.03,19.185232,20.014204,18.271036,1.743168,,-30.73764940927,121.7685626365,-11.27964216718,0.848522
121.71851958815,-11.20120140137,3037823015477786752,0.4687,0.375,0.7736,0.7161,1.88,-1.819,0.764,0.472,0.51,95,,1.45,1.023,20.290474,20.742815,19.849745,0.89307,,-30.67351333605,121.71852783097,-11.20120349907,0.778821
121.56803088389,-11.29668590156,3037823294655323648,0.0166,0.0125,0.7419,0.0273,3.923,-3.887,0.026,-0.532,0.018,31,1.563,,1.029,15.123941,15.433064,14.650406,0.782659,,-30.80197657458,121.56804850036,-11.29668353578,0.784567
