RA_ICRS,DE_ICRS,Source,e_RA_ICRS,e_DE_ICRS,Plx,e_Plx,PM,pmRA,e_pmRA,pmDE,e_pmDE,Solved,nueff,pscol,RUWE,Gmag,BPmag,RPmag,BP-RP,RV,ELAT,RAJ2000,DEJ2000,Plx_corr,cluster
121.36979367882,-11.50266942883,3037717501016600832,0.4156,0.2811,0.751,0.7624,1.016,-0.39,0.719,0.938,0.431,95,,1.3449,0.992,20.402266,20.966356,19.519678,1.446678,,-31.04887403183,121.3697954475,-11.5026735997,0.735975,0
121.22617283061,-11.61406719271,3037717672820144896,0.385,0.2871,0.8647,0.5182,1.341,-1.296,0.62,0.345,0.438,95,,1.5496,0.991,19.999346,20.51153,19.462042,1.049488,,-31.19094181209,121.22617870959,-11.61406872586,0.8842990000000001,0
121.21819950776,-11.59962171694,3037717771598715520,0.23,0.1837,0.8752,0.3601,1.763,-1.439,0.385,1.019,0.285,31,1.5,,1.03,19.566067,20.004442,19.05998,0.944462,,-31.17880459608,121.21820603467,-11.59962624598,0.890489,0
121.16695341824,-11.60790614298,3037717878974240128,0.3667,0.2707,0.8072,0.6378,2.136,-2.064,0.619,0.549,0.435,95,,1.505,0.949,20.205027,20.623688,19.608313,1.015375,,-31.19893418863,121.16696278327,-11.60790858484,0.8212630000000001,0
121.2676190653,-11.55603231035,3037718325650584320,0.9823,0.7875,0.7076,0.9736,0.854,-0.842,1.291,-0.145,1.026,95,,1.3691,1.065,20.563202,20.92704,19.854952,1.072088,,-31.12482928948,121.26762288512,-11.55603166659,0.699035,0
121.13921479277,-11.56246207526,3037719012849909632,0.2858,0.216,0.8064,0.4383,1.638,-1.317,0.446,-0.974,0.333,95,,1.4471,0.957,19.866968,20.505442,19.049417,1.456024,,-31.16136017909,121.1392207678,-11.5624577448,0.810334,0
121.16593566735,-11.55870775568,3037719047205278464,0.046,0.0367,0.8254,0.0764,3.956,-3.889,0.071,0.729,0.054,31,1.511,,1.013,17.048647,17.454998,16.413044,1.041954,,-31.15142100285,121.16595330814,-11.55871099575,0.856259,0
121.16862183285,-11.54850316264,3037719081569369984,0.0112,0.0086,0.7437,0.0182,3.999,-3.654,0.017,-1.624,0.013,31,1.582,,0.973,14.030048,14.304884,13.59631,0.708574,28.84,-31.14088298653,121.16863840953,-11.54849594412,0.7859320000000001,0
121.2107215459,-11.52328489009,3037719386507338752,0.1461,0.1109,0.7719,0.2474,2.148,-1.946,0.223,0.909,0.165,31,1.409,,1.04,18.976755,19.65929,18.252113,1.407177,,-31.10647965194,121.21073037311,-11.5232889292,0.7928820000000001,0
121.18673657461,-11.53318343546,3037719489585764992,0.1376,0.1084,0.7266,0.22,1.197,-1.168,0.22,-0.263,0.169,31,1.504,,0.995,18.913128,19.358898,18.364254,0.994644,,-31.1217433736,121.18674187216,-11.53318226865,0.748222,0
121.20317684629,-11.5220371081,3037719592664998272,0.1793,0.1325,0.8012,0.33,1.646,-1.108,0.281,-1.217,0.201,31,1.354,,0.997,19.231005,20.147263,18.324732,1.822531,,-31.10704807014,121.20318187312,-11.52203169931,0.81791,0
121.24980557425,-11.52657801125,3037720077997238784,0.311,0.2129,0.7893,0.5655,1.13,-0.337,0.474,1.079,0.325,31,1.423,,0.971,19.87597,20.344448,19.135368,1.20908,,-31.10045157028,121.24980710509,-11.52658280503,0.797945,0
121.28841998913,-11.51924505574,3037720146721193728,0.0209,0.0154,0.8376,0.0325,4.193,-3.685,0.03,-2.0,0.023,31,1.529,,0.989,15.44037,15.820096,14.886237,0.933859,,-31.08421235108,121.28843670441,-11.51923616476,0.880055,0
121.34562175206,-11.50359498644,3037720314219538048,0.3582,0.2804,0.8685,0.7365,2.487,-2.385,0.663,-0.704,0.455,31,1.425,,1.025,20.192268,20.811901,19.521189,1.290712,,-31.05549526767,121.34563256928,-11.5035918579,0.875218,0
121.31305249234,-11.47620269983,3037720662114546944,0.4197,0.316,0.8112,0.6835,1.326,-1.223,0.647,-0.513,0.486,95,,1.3595,0.991,20.14123,20.739805,19.365759,1.374046,,-31.03661804938,121.31305803845,-11.47620042161,0.797863,0
121.31126089208,-11.46570982716,3037721516810456192,0.2101,0.1588,0.687,0.3516,1.382,-1.258,0.317,0.571,0.236,31,1.512,,0.975,19.477818,19.820114,18.977697,0.842417,,-31.02685870605,121.31126659889,-11.46571236679,0.7034860000000001,0
121.31592512116,-11.45849885677,3037721521110693632,0.0281,0.0208,0.6872,0.0431,4.488,-4.093,0.043,-1.842,0.03,31,1.522,,0.975,16.19224,16.592596,15.627347,0.965249,,-31.0187579504,121.31594368374,-11.45849067222,0.7203890000000001,0
121.30230957336,-11.42663270424,3037721830348336512,0.0147,0.0114,0.7117,0.0226,1.975,-0.697,0.021,-1.848,0.016,31,1.582,,0.996,14.728951,15.003211,14.296679,0.706533,,-30.99105065466,121.30231273397,-11.42662448987,0.754329,0
121.43179985701,-11.53051824517,3037722272724575488,0.1844,0.1284,0.833,0.3416,2.286,-1.29,0.284,-1.888,0.19,31,1.426,,1.046,19.23912,19.989874,18.545443,1.444431,,-31.06119676337,121.43180570644,-11.53050985386,0.85059,0
121.47072054495,-11.52030490825,3037722345744355200,0.0128,0.0095,0.7575,0.0198,3.089,-2.922,0.02,1.001,0.014,31,1.582,,0.994,14.322816,14.595732,13.892519,0.703213,49.44,-31.04204867577,121.4707337999,-11.52030935537,0.799905,0
