GaiaDR3,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,Gmag,BPmag,RPmag,Cluster,Pmemb
5727513063031578880,122.56067750604,-12.55891446513,0.3626,-2.355,-0.419,18.871521,19.903528,17.878386,NGC_2539,0.17
5727513131750044160,122.5460647324,-12.54962434675,0.8004,-2.251,-0.616,15.352258,15.707891,14.829817,NGC_2539,1.0
5727513131750046080,122.54275181475,-12.55043579357,0.8278,-2.417,-0.548,15.774268,16.164951,15.216948,NGC_2539,1.0
5727513230529973120,122.55331929304,-12.54103626495,1.0517,-1.94,-0.476,18.82752,19.942657,17.8127,NGC_2539,0.3
5727513333609087488,122.49230452808,-12.57665464269,0.707,-2.371,-0.444,19.01958,20.076473,18.03581,NGC_2539,0.46
5727513539775089408,122.49485319681,-12.55363976981,0.7589,-2.412,-0.54,17.391953,18.031147,16.626827,NGC_2539,0.98
5727513608487063424,122.46378550357,-12.55392946486,0.6995,-2.392,-0.97,19.44288,20.836863,18.353731,NGC_2539,0.19
5727513990743498880,122.54487924485,-12.53469690202,0.7651,-2.126,-0.331,10.973208,11.073702,10.77529,NGC_2539,1.0
5727514025098364800,122.55296184533,-12.52505118215,0.9639,-2.146,-0.257,19.194937,20.399588,18.224815,NGC_2539,0.32
5727514025103226368,122.55443089414,-12.52481231938,0.8115,-2.3,-0.638,16.86579,17.565855,16.070522,NGC_2539,1.0
5727512856872137344,122.55833542419,-12.56982721147,0.6342,-2.572,-1.086,15.819974,16.215027,15.261814,NGC_2539,0.07
5727503270505693312,122.78201795843,-12.58027172499,0.7638,-2.34,-0.626,15.296309,15.638759,14.791644,NGC_2539,1.0
5727502789465747456,122.72978820251,-12.62197635129,0.7113,-2.142,-0.07,18.49089,19.23796,17.505375,NGC_2539,0.39
5727502755111308544,122.75484291482,-12.61755172343,0.6981,-2.287,-0.625,16.1271,16.554193,15.53611,NGC_2539,1.0
5727494096455654912,122.619093118,-12.76912491352,0.7348,-2.3,-0.59,14.107528,14.357325,13.705994,NGC_2539,1.0
